sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,image_label,small_image_label,thumbnail_label,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,enable_googlecheckout,tax_class_id,gift_message_available,aw_acp_disabled,size,brand,occasion,gs_delivery_returns,gs_size_guide,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
WK-Sequin-Knit-S,,Default,simple,,,base,Winter Kate-Sweater knit with sequins,Sparkle loose fit lined knit with velvet neck and cuff trim.  Team with skinny pants. Black. 100% Polyethylene lining 100% Polyester. Hand Wash,Sequin knit, 190.00 ,,,,,470,,,,,KNIT SWEATER SEQUIN IMAGE.JPG,KNIT SWEATER SEQUIN SMALL.JPG,KNIT SWEATER SEQUIN THUMB.JPG,,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,Black,,,,1,,,,1,,,,,,Block after Info Column,0,0,,,,Use config,Use config,,0,0,,No,Small,LAURIE-ANNE FRITZ,Day,Test,Test,9955,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/d/e/detail_tn_1.jpg,,1,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/d/e/detail_tn_2.jpg,,2,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/d/e/detail_large_3.jpg,,3,0,,,,
WK-Sequin-Knit-M,,Default,simple,,,base,Winter Kate-Sweater knit with sequins,Sparkle loose fit lined knit with velvet neck and cuff trim.  Team with skinny pants. Black. 100% Polyethylene lining 100% Polyester. Hand Wash,Sequin knit, 190.00 ,,,,,470,,,,,KNIT SWEATER SEQUIN IMAGE.JPG,KNIT SWEATER SEQUIN SMALL.JPG,KNIT SWEATER SEQUIN THUMB.JPG,,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/p/r/prodlist_img_9.jpg,,4,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block after Info Column,1,1,,,,Use config,Use config,,1,0,,No,,,,TEST,TEST,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/p/r/prodlist_img_9_1.jpg,,1,0,sample-simple-product-1,size,Small,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Sequin-Knit-L,,Default,simple,,,base,Winter Kate-Sweater knit with sequins,Sparkle loose fit lined knit with velvet neck and cuff trim.  Team with skinny pants. Black. 100% Polyethylene lining 100% Polyester. Hand Wash,Sequin knit, 190.00 ,,,,,470,,,,,KNIT SWEATER SEQUIN IMAGE.JPG,KNIT SWEATER SEQUIN SMALL.JPG,KNIT SWEATER SEQUIN THUMB.JPG,,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Sequin-Knit,,Default,configurable,Women/Knits,Default Category,base,Winter Kate-Sweater knit with sequins,Sparkle loose fit lined knit with velvet neck and cuff trim.  Team with skinny pants. Black. 100% Polyethylene lining 100% Polyester. Hand Wash,Sequin knit, 190.00 ,,,,,0,,,,,KNIT SWEATER SEQUIN IMAGE.JPG,KNIT SWEATER SEQUIN SMALL.JPG,KNIT SWEATER SEQUIN THUMB.JPG,,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,Winter Kate-Sequin Knit,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
