sku,qty
MV-Dress-Military-36,65
MV-Dress-Military-38,52
MV-Dress-Military-40,66
MV-Dress-Military-42,2
MV-Dress-Soft-Kiss-Silk-Dress-36,1
MV-Dress-Soft-Kiss-Silk-Dress-38,2
MV-Dress-Soft-Kiss-Silk-Dress-40,2
MV-Dress-Soft-Kiss-Silk-Dress-42,1
MV-Skirt-Silk-Navy-36,2
MV-Skirt-Silk-Navy-38,2
MV-Skirt-Silk-Navy-40,2
MV-Skirt-Silk-Navy-42,2
MV-Skirt-Silk-Lilac-36,1
MV-Skirt-Silk-Lilac-38,2
MV-Skirt-Silk-Lilac-40,2
MV-Skirt-Silk-Lilac-42,1
MV-Knit-Black-36,1
MV-Knit-Black-38,1
MV-Knit-Black-40,1
MV-Knit-Black-42,1
MV-Knit-Green-36,1
MV-Knit-Green-38,1
MV-Knit-Green-40,1
MV-Knit-Green-42,1
MT-Shirt-Jewel-36,2
MT-Shirt-Jewel-38,2
MT-Shirt-Jewel-40,1
MT-Skirt-Floral Print-36,2
MT-Skirt-Floral Print-38,2
MT-Skirt-Floral Print-40,2
MT-Skirt-Midnight-Flare-36,2
MT-Skirt-Midnight-Flare-38,2
MT-Skirt-Midnight-Flare-40,2
MT-Skirt-Skater-36,2
MT-Skirt-Skater-38,2
MT-Skirt-Skater-40,2
MT-Cropped-Jacket-36,1
MT-Cropped-Jacket-38,1
MT-Cropped-Jacket-40,1
WK-Sequin-Knit-S,2
WK-Sequin-Knit-M,2
WK-Sequin-Knit-L,2
WK-Velvet-Tank-S,1
WK-Velvet-Tank-M,2
WK-Velvet-Tank-L,2
WK-Silk-Chiffon-Shirt-S,1
WK-Silk-Chiffon-Shirt-M,2
WK-Silk-Chiffon-Shirt-L,2
WK-Cape-S,1
WK-Cape-M,1
WK-Silk-Crepe-Shirt-S,2
WK-Silk-Crepe-Shirt-M,2
WK-Silk-Crepe-Shirt-L,2
WK-Silk-Print-Dress-BW-S,1
WK-Silk-Print-Dress-BW-M,1
WK-Silk-Print-Dress-BW-L,1
WK-Silk-Print-Dress-NG-S,1
WK-Silk-Print-Dress-NG-M,1
WK-Silk-Print-Dress-NG-L,1
WK-Silk-Crepe-Trouser-S,1
WK-Silk-Crepe-Trouser-M,2
WK-Silk-Crepe-Trouser-L,1
WK-Silk-Velvet-Trouser-S,1
WK-Silk-Velvet-Trouser-M,2
